Date,Open,High,Low,Close,Adj Close,Volume
2019-08-07,83.720001,85.250000,83.449997,84.169998,83.639023,21200
2019-08-08,84.550003,86.110001,83.430000,83.910004,83.380669,43900
2019-08-09,84.790001,85.360001,83.580002,83.699997,83.171989,23000
2019-08-12,83.529999,84.000000,82.879997,83.389999,82.863945,19000
2019-08-13,84.070000,84.980003,84.070000,84.500000,83.966942,21000
2019-08-14,83.910004,84.089996,82.620003,82.949997,82.426720,23600
2019-08-15,83.260002,83.709999,82.430000,82.610001,82.088867,20700
2019-08-16,82.830002,82.889999,82.099998,82.190002,81.671516,65400
2019-08-19,82.800003,83.589996,81.779999,82.680000,82.158424,42400
2019-08-20,82.709999,82.970001,81.730003,81.849998,81.333656,16300
2019-08-21,82.040001,83.610001,81.919998,83.220001,82.695015,22000
2019-08-22,83.389999,83.709999,81.949997,82.309998,81.790756,23600
2019-08-23,81.879997,82.680000,80.029999,80.040001,79.535080,49400
2019-08-26,80.669998,81.769997,80.339996,81.510002,80.995804,15700
2019-08-27,81.459999,81.730003,79.260002,80.089996,79.584755,63200
2019-08-28,80.150002,81.290001,80.120003,81.250000,80.737442,24000
2019-08-29,81.589996,81.820000,79.959999,79.980003,79.475456,24600
2019-08-30,80.000000,81.269997,80.000000,80.800003,80.290283,28900
2019-09-03,80.769997,80.769997,79.180000,79.660004,79.157478,30700
2019-09-04,80.129997,80.300003,78.290001,78.419998,77.925293,34100
2019-09-05,79.169998,80.510002,78.650002,80.099998,79.594696,45200
2019-09-06,80.250000,80.250000,78.959999,79.699997,79.197220,31400
2019-09-09,80.000000,81.370003,79.889999,81.190002,80.677826,30000
2019-09-10,81.410004,83.260002,80.500000,81.930000,81.413155,30600
2019-09-11,81.930000,83.879997,81.239998,83.790001,83.261421,52100
2019-09-12,84.000000,84.699997,83.040001,83.809998,83.281296,48300
2019-09-13,84.099998,85.099998,83.580002,84.709999,84.175613,41100
2019-09-16,84.150002,85.339996,83.599998,84.410004,83.877510,28600
2019-09-17,84.300003,84.400002,83.389999,83.410004,82.883820,48800
2019-09-18,83.070000,84.500000,83.070000,83.400002,82.873886,34900
2019-09-19,83.650002,84.949997,83.309998,83.779999,83.251480,35500
2019-09-20,83.930000,84.699997,82.699997,83.889999,83.360786,118500
2019-09-23,83.980003,83.980003,83.300003,83.309998,82.784447,12500
2019-09-24,83.900002,83.900002,82.300003,82.500000,81.979561,36900
2019-09-25,82.980003,84.019997,82.370003,83.900002,83.370728,21600
2019-09-26,83.419998,84.019997,82.080002,82.430000,81.910004,26000
2019-09-27,82.230003,82.760002,81.599998,81.720001,81.720001,13600
2019-09-30,81.730003,83.059998,81.629997,81.849998,81.849998,22600
2019-10-01,82.449997,82.620003,80.830002,81.489998,81.489998,32200
2019-10-02,81.330002,82.110001,80.959999,81.489998,81.489998,29400
2019-10-03,81.599998,82.290001,81.190002,81.720001,81.720001,24600
2019-10-04,81.849998,83.769997,80.430000,80.440002,80.440002,36200
2019-10-07,80.440002,81.180000,79.389999,79.779999,79.779999,91000
2019-10-08,79.419998,79.519997,77.480003,77.629997,77.629997,149200
2019-10-09,78.320000,80.250000,77.489998,80.190002,80.190002,93100
2019-10-10,80.080002,80.690002,79.360001,80.180000,80.180000,36600
2019-10-11,79.410004,81.879997,79.410004,80.510002,80.510002,40600
2019-10-14,80.510002,80.510002,79.800003,80.250000,80.250000,16300
2019-10-15,80.489998,81.650002,80.239998,81.349998,81.349998,18700
2019-10-16,81.099998,81.720001,80.199997,80.980003,80.980003,23600
2019-10-17,81.089996,81.930000,80.830002,81.529999,81.529999,25600
2019-10-18,81.360001,82.449997,81.209999,82.129997,82.129997,48000
2019-10-21,82.129997,82.870003,81.519997,81.889999,81.889999,33300
2019-10-22,82.000000,82.000000,80.500000,80.709999,80.709999,30900
2019-10-23,81.230003,81.360001,80.550003,80.730003,80.730003,17800
2019-10-24,81.690002,81.690002,80.169998,80.489998,80.489998,24800
2019-10-25,80.480003,81.029999,80.019997,80.099998,80.099998,22900
2019-10-28,80.050003,81.080002,80.040001,80.370003,80.370003,20500
2019-10-29,80.349998,81.379997,80.120003,80.849998,80.849998,25500
2019-10-30,81.000000,82.209999,80.720001,82.209999,82.209999,31200
2019-10-31,82.300003,82.419998,81.400002,82.180000,82.180000,39800
2019-11-01,82.099998,83.099998,82.099998,82.559998,82.559998,44400
2019-11-04,82.889999,83.190002,81.900002,83.040001,83.040001,22300
2019-11-05,82.820000,83.309998,82.239998,82.629997,82.629997,24300
2019-11-06,82.769997,83.620003,82.169998,82.709999,82.709999,34500
2019-11-07,83.980003,84.849998,82.540001,82.860001,82.860001,25600
2019-11-08,82.860001,83.589996,82.860001,83.160004,83.160004,15500
